Date P PET Q
1948-06-16 10.48 4.578 0.5225
1948-06-17 0 4.585 0.5225
1948-06-18 0.14 4.592 0.5225
1948-06-19 1.08 4.598 0.544
1948-06-20 0.17 4.603 0.4902
1948-06-21 0 4.608 0.4395
1948-06-22 0 4.612 0.4088
1948-06-23 1.17 4.616 0.3903
1948-06-24 3.68 4.619 0.3811
1948-06-25 1.65 4.621 0.3811
1948-06-26 0.71 4.623 0.3627
1948-06-27 7.46 4.624 0.335
1948-06-28 0.39 4.625 0.4395
1948-06-29 1.19 4.625 0.8975
1948-06-30 9.73 4.625 0.8237
1948-07-01 0.89 4.624 0.5548
1948-07-02 0 4.622 0.4395
1948-07-03 1.76 4.62 0.4395
1948-07-04 0.19 4.617 0.3627
1948-07-05 0.06 4.614 0.3012
1948-07-06 5.99 4.61 0.2751
1948-07-07 0 4.605 0.292
1948-07-08 0 4.6 0.292
1948-07-09 0 4.594 0.292
1948-07-10 0 4.588 0.2582
1948-07-11 0 4.581 0.2274
1948-07-12 1 4.573 0.1982
1948-07-13 10.83 4.565 0.1906
1948-07-14 14.53 4.557 0.1906
1948-07-15 0.05 4.547 0.2505
1948-07-16 0 4.538 0.2828
1948-07-17 0.27 4.527 0.3166
1948-07-18 0 4.516 0.292
1948-07-19 2.51 4.505 0.2505
1948-07-20 2.73 4.493 0.2751
1948-07-21 0.27 4.48 0.335
1948-07-22 4.51 4.467 0.2828
1948-07-23 0.11 4.454 0.2751
1948-07-24 0 4.44 0.2674
1948-07-25 0 4.425 0.2121
1948-07-26 0.25 4.41 0.1783
1948-07-27 1.26 4.394 0.1844
1948-07-28 4.35 4.378 0.1783
1948-07-29 0.82 4.361 0.2428
1948-07-30 6.65 4.343 0.2582
1948-07-31 11.69 4.326 0.2428
1948-08-01 26.64 4.307 0.1982
1948-08-02 13.22 4.288 0.3442
1948-08-03 36.64 4.269 0.7745
1948-08-04 39.57 4.249 1.506
1948-08-05 0.59 4.229 2.3973
1948-08-06 0 4.208 2.9198
1948-08-07 0.18 4.187 3.6267
1948-08-08 1.58 4.165 7.069
1948-08-09 1.18 4.143 7.3303
1948-08-10 6.8 4.121 5.3479
1948-08-11 11.15 4.098 3.3962
1948-08-12 7.55 4.074 1.9517
1948-08-13 0.1 4.05 1.4445
1948-08-14 1.73 4.026 1.3831
1948-08-15 0 4.001 1.211
1948-08-16 0 3.976 0.8975
1948-08-17 0.18 3.951 0.7038
1948-08-18 20.01 3.925 0.5655
1948-08-19 15.43 3.898 0.5333
1948-08-20 2.27 3.872 0.7038
1948-08-21 1.86 3.845 0.7991
1948-08-22 1.23 3.817 0.8975
1948-08-23 0 3.789 1.045
1948-08-24 0 3.761 1.2663
1948-08-25 0 3.733 1.3831
1948-08-26 0 3.704 0.9466
1948-08-27 0 3.675 0.5548
1948-08-28 1.14 3.646 0.4487
1948-08-29 4.14 3.616 0.3811
1948-08-30 0.16 3.586 0.3719
1948-08-31 0 3.556 0.3719
1948-09-01 0 3.525 0.3719
1948-09-02 0 3.494 0.335
1948-09-03 0 3.463 0.3012
1948-09-04 0 3.432 0.2828
1948-09-05 0.61 3.401 0.2674
1948-09-06 1.11 3.369 0.2351
1948-09-07 7.15 3.337 0.2351
1948-09-08 2.32 3.305 0.3012
1948-09-09 8.99 3.272 0.3627
1948-09-10 7.78 3.24 0.3719
1948-09-11 0.02 3.207 0.4303
1948-09-12 0 3.174 0.5117
1948-09-13 0 3.141 0.4595
1948-09-14 0 3.108 0.4088
1948-09-15 0 3.074 0.335
1948-09-16 0 3.041 0.292
1948-09-17 0.01 3.007 0.2582
1948-09-18 0.94 2.973 0.2505
1948-09-19 0.69 2.939 0.2351
